Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Sea pressure [decibar]	QV:ARGO	Practical salinity [psu]	QV:ARGO	Sea temperature [degree_Celsius]	QV:ARGO
					275	1	34.825	3	12.14	1
					1488	1	34.819	3	7.983	1
					85	1	35.07	3	15.912	1
					1713	1	34.36	3	5.223	1
					838	1	35.2	3	11.635	1
					7	1	35.069	3	15.901	1
					363	1	34.811	3	11.946	1
					913	1	35.196	3	11.371	1
					1013	1	35.183	3	10.888	1
					587	1	34.881	3	11.382	1
					1138	1	35.323	3	11.045	1
					1337	1	35.127	3	9.71	1
					1238	1	35.253	3	10.561	1
					246	1	34.839	3	12.307	1
					388	1	34.817	3	11.901	1
					1938	1	34.232	3	4.258	1
					105	1	35.042	3	14.711	1
					295	1	34.821	3	12.085	1
					788	1	35.151	3	11.689	1
					1438	1	34.947	3	8.699	1
					438	1	34.81	3	11.784	1
					513	1	34.795	3	11.464	1
					1538	1	34.658	3	7.048	1
					337	1	34.811	3	11.995	1
					1888	1	34.247	3	4.417	1
					66	1	35.071	3	15.908	1
					175	1	34.947	3	13.157	1
					255	1	34.841	3	12.272	1
					1738	1	34.331	3	5.033	1
					1638	1	34.436	3	5.715	1
					1163	1	35.323	3	11.017	1
					1587	1	34.545	3	6.367	1
					1988	1	34.23	3	4.176	1
					1038	1	35.258	3	11.085	1
					186	1	34.927	3	13.036	1
					6	1	35.069	3	15.9	1
					738	1	35.053	3	11.559	1
					1213	1	35.307	3	10.851	1
					638	1	34.945	3	11.44	1
					563	1	34.854	3	11.38	1
					463	1	34.796	3	11.648	1
					1863	1	34.265	3	4.552	1
					1763	1	34.322	3	4.972	1
					165	1	34.975	3	13.324	1
					225	1	34.864	3	12.536	1
					95	1	35.061	3	15.762	1
					11	1	35.07	3	15.902	1
					10	1	35.069	3	15.9	1
					13	1	35.07	3	15.902	1
					12	1	35.07	3	15.901	1
					15	1	35.07	3	15.902	1
					1188	1	35.322	3	10.963	1
					963	1	35.221	3	11.239	1
					19	1	35.07	3	15.903	1
					863	1	35.195	3	11.525	1
					1513	1	34.745	3	7.558	1
					156	1	34.995	3	13.454	1
					888	1	35.196	3	11.453	1
					35	1	35.07	3	15.905	1
					235	1	34.852	3	12.442	1
					1813	1	34.299	3	4.81	1
					46	1	35.07	3	15.907	1
					1612	1	34.491	3	6.034	1
					1962	1	34.235	3	4.242	1
					1113	1	35.313	3	11.062	1
					1563	1	34.599	3	6.697	1
					145	1	35.025	3	13.64	1
					206	1	34.878	3	12.699	1
					613	1	34.918	3	11.415	1
					75	1	35.071	3	15.908	1
					488	1	34.788	3	11.542	1
					1288	1	35.206	3	10.181	1
					1362	1	35.093	3	9.523	1
					688	1	34.992	3	11.506	1
					1688	1	34.387	3	5.392	1
					2009	1	34.207	3	4.013	1
5902290	42662922	2016-01-02T19:40:00Z	-4.19	45.382	1	1	35.445	3	13.978	1
					0	1	35.447	3	13.978	3
					3	1	35.448	3	13.976	1
					2	1	35.448	3	13.975	1
					5	1	35.447	3	13.974	1
					4	1	35.446	3	13.977	1
5902290	42662921	2016-01-02T19:40:00Z	-4.19	45.382	1788	1	35.106	1	4.759	1
					213	1	35.593	1	11.811	1
					1263	1	35.597	1	8.274	1
					663	1	35.628	1	10.774	1
					764	1	35.663	1	10.532	1
					135	1	35.575	1	11.991	1
					1913	1	35.059	1	4.329	1
					25	1	35.447	1	13.987	1
					20	1	35.448	1	13.983	1
					1838	1	35.084	1	4.57	1
					288	1	35.598	1	11.677	1
					938	1	35.751	1	10.078	1
					8	1	35.448	1	13.978	1
					813	1	35.689	1	10.373	1
					1463	1	35.356	1	6.635	1
					11	1	35.447	1	13.976	1
					1313	1	35.511	1	7.701	1
					713	1	35.649	1	10.654	1
					263	1	35.599	1	11.732	1
					125	1	35.567	1	12.038	1
					55	1	35.454	1	13.919	1
					1063	1	35.734	1	9.539	1
					1388	1	35.42	1	7.079	1
					18	1	35.448	1	13.981	1
					1413	1	35.401	1	6.961	1
					1663	1	35.206	1	5.535	1
					538	1	35.598	1	11.165	1
					988	1	35.755	1	9.921	1
					195	1	35.59	1	11.828	1
					1088	1	35.73	1	9.445	1
					115	1	35.565	1	12.105	1
					1489	1	35.33	1	6.448	1
					85	1	35.521	1	12.66	1
					1713	1	35.158	1	5.169	1
					838	1	35.708	1	10.287	1
					7	1	35.448	1	13.977	1
					363	1	35.594	1	11.53	1
					1012	1	35.751	1	9.805	1
					912	1	35.746	1	10.129	1
					1138	1	35.723	1	9.242	1
					1338	1	35.481	1	7.496	1
					413	1	35.592	1	11.449	1
					1238	1	35.634	1	8.532	1
					588	1	35.607	1	11.017	1
